0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
need put happy death day website wanna watch,-0.0516,0.287,0.272,0.441
kicking back watching great movie,0.6249,0.0,0.506,0.494
chose see happy death day would bigger story,-0.0516,0.287,0.272,0.441
happy death day amazing everyone go see,0.5574,0.253,0.487,0.26
happy death day original fun enough overcome flaws,0.6597,0.227,0.541,0.233
friday happy death day everyone,-0.0516,0.368,0.349,0.283
happy death day movie,-0.0516,0.406,0.385,0.208
watching happy death day theaters amc theaters,-0.0516,0.31,0.294,0.397
happy death day tn,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
scream meets groundhog scary still enjoyable,-0.4588,0.5,0.246,0.254
happy friday happy death day madera,0.5423,0.273,0.517,0.21
bout go see happy death day,-0.0516,0.336,0.319,0.345
watching happy death day honestly tf kill trying figure,-0.4404,0.424,0.33,0.246
wanna see happy death day,-0.0516,0.368,0.349,0.283
really expect happy death day good funny,0.6823,0.246,0.577,0.177
someone come see happy death day,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
watching happy death day nothing annoying ass jits,0.6004,0.233,0.527,0.239
quiero ver happy death day,-0.0516,0.368,0.349,0.283
lol stay tuned going live tonight anybody going see happy death day,0.3818,0.201,0.335,0.464
taking layla friends movies see happy death day friday oh,0.4404,0.22,0.384,0.395
seeing happy death day still entirely comfortable money going apparently script almost entirely rewritten gay,0.5256,0.168,0.314,0.517
happy death day cool,0.2732,0.358,0.55,0.092
im goin see happy death day also jason coming us,-0.0516,0.25,0.237,0.513
producer jason blum talks happy death day pressure surrounding new halloween movie,-0.34,0.324,0.197,0.479
neutral,0.0,0.0,0.0,1.0
came movies watch happy death day hubert convinced watch forgiener,0.3612,0.225,0.37,0.405
opening dead happy death day marston wonder,-0.6705,0.516,0.233,0.252
happy death day playing theaters bye,0.1531,0.315,0.444,0.242
happy death day playing theaters bye like us ml,0.4767,0.231,0.473,0.296
premiere day,0.0,0.0,0.0,1.0
know press see happy death day,-0.0516,0.336,0.319,0.345
happy death day greatest movie,0.6124,0.283,0.572,0.145
friday including florida meyerowitz professor happy death day,-0.0516,0.287,0.272,0.441
halloween happy death day lot victim wakes discover really like,0.1263,0.324,0.351,0.324
wanna go watch happy death day,-0.0516,0.336,0.319,0.345
going see happy death day tonight bae,-0.0516,0.31,0.294,0.397
happy death day nos rwby sai thumper dia e eu n vou conseguir ver nenhum feliz falta de dinheiro,-0.0516,0.173,0.164,0.664
tryna go watch happy death day,-0.0516,0.336,0.319,0.345
want watch happy death day,0.0258,0.358,0.459,0.183
ugh wanna go see happy death day,-0.4588,0.465,0.257,0.278
watch happy death day,-0.0516,0.406,0.385,0.208
want see happy death day,0.0258,0.358,0.459,0.183
oh happy death day jkjk great rest day,0.5994,0.234,0.467,0.299
finalmente vou assistir happy death day,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
wants watch happy death day,-0.0516,0.368,0.349,0.283
rt wanna see happy death day,-0.0516,0.336,0.319,0.345
seeing happy death day tomorrow,-0.0516,0.368,0.349,0.283
wanted go see happy death day tonight bc friday n whatever also opening theater gone,-0.0516,0.199,0.189,0.612
admin going see happy death day tonight makeup point yee,-0.0516,0.25,0.237,0.513
someone plz see happy death day,0.0258,0.328,0.42,0.252
wanna go see happy death day,-0.0516,0.336,0.319,0.345
minute movies reviews breathe andrew limehouse golem happy death day news news,-0.0516,0.222,0.21,0.568
eaten nothing popcorn day,0.0,0.0,0.0,1.0
happy death day said self realizing speaking,-0.0516,0.31,0.294,0.397
happy death day actually pretty good movie,0.7096,0.234,0.587,0.18
happy death day happy bday dont die today pls,0.7524,0.26,0.536,0.203
neutral,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day campy thriller needed today leave actual credits roll lmfao,0.7184,0.23,0.5,0.27
producer jason blum talks happy death day pressure surrounding new halloween movie,-0.34,0.324,0.197,0.479
happy death day offers killer twist classic bill murray,-0.6705,0.458,0.207,0.335
happy death day,-0.0516,0.453,0.43,0.116
tired seeing happy death day trailers,-0.4767,0.504,0.274,0.222
watching happy death day amc valley view,-0.0516,0.31,0.294,0.397
amount happy death day trailers seen pretty sure already seen whole,0.6486,0.194,0.458,0.348
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
happy death day really,-0.0516,0.406,0.385,0.208
going reviewing happy death day,-0.0516,0.368,0.349,0.283
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
gonna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
serena saw happy death day guessed killed right,-0.6908,0.491,0.216,0.292
gonna go see,0.0,0.0,0.0,1.0
nick terran see leaves laughing screaming end drive,0.1531,0.22,0.271,0.508
lowkey kinda wanna go watch happy death day,-0.0516,0.287,0.272,0.441
might go watch least look forward,0.0,0.0,0.0,1.0
pleasantly surprised much enjoyed review happy death day give,0.7964,0.196,0.603,0.201
trying go see happy death day tonight,-0.0516,0.31,0.294,0.397
happy death day movie,-0.0516,0.406,0.385,0.208
daughter invited kid slumber happy death day,-0.0516,0.31,0.294,0.397
wanna see happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
sad happy death day playing big rapids theater,-0.3612,0.424,0.333,0.242
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
many movies need happy death day babysitter,-0.0516,0.31,0.294,0.397
happy death day novo rs,-0.0516,0.368,0.349,0.283
two deaf gays watching rhymes jada came,0.0,0.0,0.0,1.0
wanna see happy death day,-0.0516,0.368,0.349,0.283
wanna see happy death day,-0.0516,0.368,0.349,0.283
need go see happy death day,-0.0516,0.336,0.319,0.345
happy death day tonight nik,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
scott lobdell wrote happy death day,-0.0516,0.336,0.319,0.345
na sala de cinema esperando pra assistir happy death day,-0.0516,0.25,0.237,0.513
look quick reference new movie,0.0,0.0,0.0,1.0
shame cause jessica rothe actually quite good wish clever people,0.7457,0.167,0.509,0.324
producer jason blum talks happy death day pressure surrounding new halloween movie,-0.34,0.324,0.197,0.479
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
tryna go see happy death day,-0.0516,0.336,0.319,0.345
wants see happy death day,-0.0516,0.368,0.349,0.283
happy death day offers killer twist classic bill murray ew review entertainment weekly,-0.4019,0.346,0.274,0.38
wanna see happy death day,-0.0516,0.368,0.349,0.283
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
happy death day n snek,-0.0516,0.406,0.385,0.208
happy death day tonight,-0.0516,0.406,0.385,0.208
wanna go see happy death day,-0.0516,0.336,0.319,0.345
amount twists suspenseful surprisingly original loved must watch,0.8126,0.0,0.627,0.373
review,0.0,0.0,0.0,1.0
happy death day bar baby,-0.0516,0.368,0.349,0.283
somebody take see happy death day,-0.0516,0.336,0.319,0.345
chirp take heat latest powered,0.0,0.0,0.0,1.0
went happy death day good movie,0.4019,0.289,0.489,0.222
going see happy death day wifffeeee,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
see,0.0,0.0,0.0,1.0
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
idea scott lobdell wrote happy death day,-0.0516,0.31,0.294,0.397
want go see happy death day one go,0.0258,0.281,0.36,0.36
box poised exceed initial estimates million weekend,0.25,0.0,0.25,0.75
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
happy death day hahahaha dah tengok lama aku jadi cite ni baru ke lame,-0.4588,0.313,0.173,0.514
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
wanna go movies tonight see happy death day even curl someone make happen,-0.0516,0.21,0.199,0.591
somebody go see happy death day,-0.0516,0.336,0.319,0.345
altamente watching happy death day regal la live stadium,-0.0516,0.267,0.253,0.479
going see happy death day back later,-0.0516,0.31,0.294,0.397
going go see happy death day tonight,-0.0516,0.31,0.294,0.397
liked video happy death day,0.3818,0.315,0.524,0.161
happy death day comes,-0.0516,0.406,0.385,0.208
gostei de um uickie happy death day,-0.0516,0.31,0.294,0.397
happy death day ugli,-0.0516,0.406,0.385,0.208
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
recommend watching obviously makes happy death day,0.3182,0.277,0.44,0.284
thursday night happy death day scares solid healthy,0.1779,0.364,0.462,0.173
wanna see happy death day bad someone see,-0.5719,0.46,0.23,0.311
everybody see happy death day cutie pie lot screen presence talent good,0.7906,0.171,0.522,0.307
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
desperately want go see happy death day wants go,-0.3612,0.394,0.303,0.303
idk,-0.1027,1.0,0.0,0.0
happy death day,-0.0516,0.453,0.43,0.116
appo happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
omg best movie ever,0.6369,0.0,0.583,0.417
happy death day,-0.0516,0.453,0.43,0.116
de estreia morte te happy death day,-0.0516,0.31,0.294,0.397
want watch friend wants wach happy death day,0.5106,0.242,0.509,0.248
happy death day easily confusing movie ever created,0.3182,0.343,0.479,0.178
movie crap slightly less crap crap right people think good crap,-0.7579,0.539,0.15,0.311
happy death day comes today wont see,-0.0516,0.31,0.294,0.397
fantastic perfect film watch highly seeing regret,0.6395,0.214,0.508,0.278
hope masked killer bill murray character still stuck groundhog,-0.5267,0.414,0.191,0.395
box poised exceed initial estimates million weekend,0.25,0.0,0.25,0.75
someone go go see happy death day please,0.2732,0.262,0.403,0.336
happy death day tonight,-0.0516,0.406,0.385,0.208
da fuck happy death day,-0.5719,0.565,0.282,0.153
muy buen cumple perfectamente con lo que se espera de asi que bien,0.0,0.0,0.0,1.0
happy death day movie night birthday surprise squad happy spooky birthday,0.6808,0.191,0.466,0.343
already said hope happy death day movie flops fucking hard,-0.101,0.408,0.337,0.255
happy death day playing theaters bye,0.1531,0.315,0.444,0.242
trynna see happy death day jigsaw lowkey,-0.0516,0.31,0.294,0.397
time watch happy death day,-0.0516,0.368,0.349,0.283
need go see,0.0,0.0,0.0,1.0
wanna go see happy death day,-0.0516,0.336,0.319,0.345
really wanna see happy death day today,0.0164,0.303,0.308,0.389
friday tickets showtimes,0.0,0.0,0.0,1.0
friday tickets showtimes,0.0,0.0,0.0,1.0
happy death day need know short something protagonist literally named shrubbery,-0.0516,0.235,0.223,0.542
happy friday,0.5719,0.0,0.787,0.213
ending happy death day left really,-0.0516,0.336,0.319,0.345
come westmont week please wanna take see happy death day,0.2732,0.231,0.355,0.414
friday tickets showtimes,0.0,0.0,0.0,1.0
happy death day prob save ur money kind movie going know hiding behind goofy mask,0.6369,0.231,0.39,0.379
supposed watch happy death day friend cancelled,0.25,0.373,0.437,0.19
happy death day tonight,-0.0516,0.406,0.385,0.208
dia hay,0.0,0.0,0.0,1.0
pretty american quite funny one,0.7501,0.0,0.681,0.319
happy death day one worst thriller movies soz,-0.5994,0.468,0.298,0.234
want real horror movie none happy death day shit,-0.7815,0.549,0.237,0.213
tryna go watch happy death day,-0.0516,0.336,0.319,0.345
glad happy death day finally watch ads every youtube video much longer,0.4215,0.199,0.342,0.459
box poised exceed initial estimates million weekend,0.25,0.0,0.25,0.75
happy death day tonight turn tomorrow lit,-0.0516,0.31,0.294,0.397
neutral,0.0,0.0,0.0,1.0
happy death day really,-0.0516,0.406,0.385,0.208
anyone see happy death day,-0.0516,0.368,0.349,0.283
informed movie happy death day includes teen masturbating gay,-0.0516,0.267,0.253,0.479
happy death day foreigner real,-0.0516,0.368,0.349,0.283
saw review happy death day shocked actually enjoyed left home saw kinda loved,0.6605,0.25,0.428,0.322
happy death day strongsville mall b,-0.0516,0.368,0.349,0.283
goin see happy death day bitches,-0.6249,0.538,0.255,0.207
muy decepcionante happy death day pasa de su premisa,-0.0516,0.267,0.253,0.479
going football watching happy death day,-0.0516,0.336,0.319,0.345
neutral,0.0,0.0,0.0,1.0
ha recordado tanto las pelis que de teenager que,0.34,0.0,0.231,0.769
en el un divertimento,0.0,0.0,0.0,1.0
ur already state go watch happy death day,-0.0516,0.287,0.272,0.441
recommend seeing happy death day,0.3182,0.322,0.512,0.165
watching happy death day,-0.0516,0.406,0.385,0.208
cause bday tryna happy death day,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
happy death day okay movie,0.1779,0.339,0.487,0.174
movie good ty making think wake everyday bsf yodeling face ty,0.7964,0.0,0.503,0.497
happy death day yea nay,-0.0516,0.368,0.349,0.283
ya happy death day aka nothing like wisdom teeth surgery,-0.6232,0.475,0.2,0.325
happy death day cute,0.4215,0.336,0.578,0.086
watching happy death day,-0.0516,0.406,0.385,0.208
says friday got last ticket happy death day probably going terrible,-0.5106,0.374,0.198,0.428
happy death day former writer going movie,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
yes please,0.6124,0.0,1.0,0.0
happy death day,-0.0516,0.453,0.43,0.116
decrpcionante slasher q se hace previsible q es lo peor q pasar,0.0,0.0,0.0,1.0
liked video happy death day movie review october,0.3818,0.253,0.422,0.325
happy death day written generation writer,-0.0516,0.336,0.319,0.345
happy death day honestly freakiest shit ever reason wanna see evolving,-0.5267,0.443,0.294,0.263
hoping happy death day keep guys updated,0.3818,0.271,0.451,0.278
happy death day,-0.0516,0.453,0.43,0.116
happy death day helllllla good,0.4019,0.312,0.528,0.16
liked video happy death day movie review,0.3818,0.271,0.451,0.278
happy death day paranormal activity,-0.0516,0.368,0.349,0.283
trying see movie,0.0,0.0,0.0,1.0
es divertida menos boba de lo que que genial,0.4215,0.0,0.259,0.741
happy death day think,-0.0516,0.406,0.385,0.208
happy death day trailers clips movieclips trailer,-0.0516,0.31,0.294,0.397
wait eat see happy death day,-0.0516,0.336,0.319,0.345
today also release movie gonna watch means die,-0.5994,0.358,0.0,0.642
liked video happy death day,0.3818,0.315,0.524,0.161
ending happy death day left really good news,0.4576,0.247,0.436,0.317
happy death day playing theaters bye,0.1531,0.315,0.444,0.242
watching happy death day hopefully good premise sounds,0.6597,0.227,0.541,0.233
